Sie lachte mich aus.	She laughed at me.
Ich war ziemlich überrascht.	I was quite surprised.
Du solltest mir vertrauen.	You ought to trust me.
Sie sehen zufrieden aus.	You look contented.
Ich mag Tennis sehr.	I like tennis very much.
Ich glaube an Gott.	I believe in God.
Mir läuft die Nase.	My nose is running.
Das Kino war voller Leute.	The movie theater was filled with people.
Ich habe zu langes Haar.	My hair is too long.
Ich dachte, er wäre krank.	I thought he was sick.
Ich lerne gern Sprachen.	I like to study languages.
Er wollte dich treffen.	He wanted to meet you.
Wir helfen dir aus.	We'll help you out.
Niemand glaubt mir.	No one believes me.
Er hob seine Hand.	He raised his hand.
Was denkt ihr?	What are you thinking?
Ich habe heute großen Hunger.	I'm very hungry today.
Jeder steht für sich allein.	It's every man for himself.
Ich verdanke ihm mein Leben.	I owe him my life.
Ich treffe ihn immer dort.	I'm always meeting him there.
Das fühlt sich toll an.	That feels amazing.
Ich spreche nicht Japanisch.	I can't speak Japanese.
Ich liebe diesen Stuhl.	I love that chair.
Wie heißt diese Blume?	What do you call this flower?
Er wird es nicht schaffen.	He won't make it.
Ich zeige Dir mein Zimmer.	I'll show you my room.
Darf ich zum Fluss gehen?	May I go to the river?
Ich kann kaum schwimmen.	I can hardly swim.
Der Schmerz war sehr groß.	The pain was terrible.
Sie folgte ihm nach Hause.	She followed him home.
Er führte den Plan aus.	He carried out the plan.
Ich kam in London an.	I arrived in London.
Man gab mir eine neue Jacke.	I was given a new jacket.
Mit wem gehst du so zurzeit?	Whom are you going out with now?
Ich war kein Gegner für ihn.	I was no match for him.
Du kamst zu spät zur Arbeit.	You were late for work.
Gehe zurück zum Schiff.	Get back to the ship.
Gehe zum Schiff zurück.	Get back to the ship.
Er kennt die Wahrheit.	He knows the truth.
Das macht mich nervös.	It's making me nervous.
Ich sah sie letzte Woche.	I saw her last week.
Sie haben keine Beweise.	You have no evidence.
Aus welchem Land kommst du?	Which country are you from?
Du bist bloß ein Student.	You’re just a student.
Niemand glaubt ihr.	No one believes her.
Ich nehme ab.	I'm losing weight.
Eine Uhr hängt an der Wand.	There is a clock on the wall.
Der Himmel wird dunkel.	The sky is getting dark.
Kannst du mir helfen?	Can you help me?
Ich habe deine Nummer nicht.	I don't have your number.
Ich werde etwas dazu sagen.	I will say something about it.
Sie haben aber viele Fragen!	You certainly have a lot of questions.
Wie viel kostet das Ticket?	How much is the ticket?
Wir brauchen etwas Zucker.	We need a little sugar.
Ich fange gerade erst an.	I'm just beginning.
Was geschah ihm?	What happened to him?
Schläft er?	Is he sleeping?
Er schläft.	He is asleep.
Wie lange wirst du bleiben?	How long will you be staying?
Wir hatten jede Menge Spaß.	We had a jolly good time.
Ich bin nicht deine Puppe.	I'm not your doll.
Wann gehst du zur Schule?	When do you leave for school?
Sie zeigte ihm das Foto.	She showed him the photo.
Sie studiert Englisch.	She studies English.
Ich kann nicht schlafen.	I can't sleep.
Sie fing das Huhn.	She caught the chicken.
Wir sehen uns nächste Woche!	See you next week!
Mein Vater war beschäftigt.	My father has been busy.
Ich habe sehr langes Haar.	I have very long hair.
Das hier betrifft dich.	That is the thing that concerns you.
Kann ich Ihnen helfen?	Can I help you?
Du hast keine Beweise.	You have no evidence.
Das Haus stürzte ein.	The house caved in.
Er ließ mich warten.	He kept me waiting.
Sie stieg vom Pferd.	She got off her horse.
Ich hab meinen Spaß.	I'm having fun.
Was macht Ken?	What's Ken doing?
Er besucht uns ab und an.	He visits us now and then.
Ich habe Sie schreien gehört.	I heard you scream.
Könnt ihr mir bitte helfen?	Can you help me, please?
Du hast aber viele Fragen!	You certainly have a lot of questions.
Wie lange halten wir hier?	How long do we stop here?
Da könnt ihr lange warten!	You can wait until the cows come home!
Er wollte zur See fahren.	He wanted to go to sea.
Ich gehe in den Park.	I go to the park.
Wir lieben einander noch.	We still love each other.
Ich mag diese Farbe.	I like this colour.
In welchem Monat bist du?	How far along are you?
Das habe ich ihm gesagt.	That's what I told him.
Sie war schuld.	It was her fault.
Wann fährt der erste Zug ab?	What time does the first train leave?
Die Preise sind hoch.	Prices are high.
Sei still und hör zu!	Shut up and listen!
Wie nennt man diesen Vogel?	What do you call this bird?
Er hat drei Brüder.	He has three brothers.
Du bist sehr klug.	You're quite smart.
Das wäre toll.	That would be great.
Auf dem Hügel steht ein Haus.	There is a house on the hill.
Warum willst du das tun?	Why do you want to do this?
Er brach nach Paris auf.	He set off to Paris.
Mama kam in mein Zimmer.	My mom walked into my room.
Möchtest du etwas Kuchen?	Do you want a little cake?
Ich suche ein Laden.	I am looking for a shop.
Das Haus steht auf dem Hügel.	The house is on the hill.
Sie arbeitet in einer Bank.	She works in a bank.
Haben Sie noch Zimmer frei?	Do you have a vacancy?
Ich träume viel.	I dream a lot.
Wem gehört diese Brille?	Whose glasses are these?
Lesen Sie das zuerst!	Read this first.
Du hast mir etwas gesagt.	You've told me something.
Das habe ich nie gesagt!	I never said that!
Das habe ich nie gesagt.	I never said that.
Ken möchte ein Fahrrad.	Ken wants a bicycle.
Ich wollte dir helfen.	I wanted to help you.
Nein, müsst ihr nicht.	No, you don't have to.
Jetzt bin ich nervös.	I'm nervous now.
Das bringt es nicht.	That doesn't cut the mustard.
Wir standen alle sofort auf.	We all stood up at once.
Man wird ihn vermissen.	He will be missed.
Können Sie mir helfen?	Can you help me?
Warum tut er das?	Why is he doing this?
Wahre Liebe gibt es nicht!	True love doesn't exist!
Es bleibt wenig zu sagen.	Little remains to be said.
Er schien krank zu sein.	He seemed to be ill.
Sie weinte allein.	She was weeping alone.
Er fuhr mit dem Fahrrad hin.	He went by bicycle.
Ich schreibe keinen Brief.	I am not writing a letter.
Bitte sei nicht mehr traurig.	Please don't be sad any more.
Er weint fast jeden Tag.	He cries almost everyday.
Er hörte auf zu lachen.	He stopped laughing.
Wohin soll ich das hier tun?	Where do you want me to put this?
Dieses Flugzeug gehört ihm.	This plane is his.
Er geht ins Konzert.	He is going to the concert.
Was hältst du davon?	What do you think about it?
Sie gestand, ihn zu mögen.	She confessed to liking him.
Jetzt weiß ich, warum.	Now I know why.
Ein Kind isst Fleisch.	It's a child that is eating meat.
Sie trinken nie Bier.	They never drink beer.
Er stieg eilig in sein Auto.	He got into his car in a hurry.
Er saß da und trank Wein.	He was sitting drinking wine.
Sie spielt jeden Tag Tennis.	She plays tennis every day.
Er schuldet mir viel Geld.	He owes me a lot of money.
Warum tust du so was?	Why are you acting this way?
Siehst du die Leute im Park?	Do you see people in the park?
Sage nichts meinem Mann!	Don't tell my husband.
Das Kind isst Fleisch.	The child is eating meat.
Ich ertrage ihn nicht.	I can't stand him.
Was hältst du von Japanisch?	What do you think of Japanese?
Ich gebe dir einen Rat.	I'll give you a piece of advice.
Er rasiert sich jeden Tag.	He shaves himself every day.
Niemand kennt mein Land.	Nobody knows my country.
Diese Uhr geht richtig.	This clock is accurate.
Das fehlte gerade noch!	That's all we needed!
Das gehört dazu.	That's part of it.
Er tut mir leid.	I feel sorry for him.
Anders kann ich nicht denken.	I cannot think any other way.
Wollt ihr euch nicht setzen?	Won't you sit down?
Ich brauche keinen Grund.	I don't need a reason.
Kann mich jemand hören?	Can anyone hear me?
Er kann schnell laufen.	He can run fast.
Ich kann kaum laufen.	I can hardly walk.
Er näherte sich ihr.	He moved closer to her.
So eine Sache passiert oft.	Such a thing occurs frequently.
Er schoss viel Geld zu.	He kicked in a lot of money.
Du siehst zufrieden aus.	You look contented.
Habt ihr keinen Hunger?	Aren't you hungry?
Sie sagt die Wahrheit.	She speaks the truth.
Er las nur Zeitung.	He did nothing but read newspapers.
Ich reiste zu Fuß.	I traveled on foot.
Sie werden es nicht schaffen.	They won't make it.
Sie hat das Richtige getan.	She did the right thing.
Tragen Sie das für mich.	Carry this for me.
Es klingelte an der Tür.	The doorbell rang.
Er legte die Hand aufs Herz.	He put his hand on his heart.
Ich hätte gerne eine Gabel.	I'd like a fork.
Es war Zeit zu frühstücken.	It was time for breakfast.
Er wird morgen frei sein.	He will be free tomorrow.
Morgen wird er frei sein.	He will be free tomorrow.
Sie lügt über ihr Alter.	She is lying about her age.
Ihr arbeitet schwer.	You're working hard.
Seid ihr Studenten?	Are you students?
Ich bin nicht dick!	I'm not fat.
Wir sind Schüler.	We're students.
Ich nahm ein Bad.	I was taking a bath.
Meine Schwester hasst mich.	My sister hates me.
Ich spiele gut Klavier.	I play the piano well.
Er kann schnell rennen.	He can run fast.
Jetzt schuldest du mir etwas.	Now you owe me.
Ich war schuld.	It was my fault.
Sie sahen ihn nicht.	You didn't see him.
Lernst du jeden Tag?	Do you study every day?
Gehen Sie da lang!	Go that way.
Wir sind in Paris.	We are in Paris.
Bitte ruf ihn an.	Please ring him up.
Hast du ihr nichts gesagt?	You didn't tell her anything?
Ich lese ein Buch über Tiere.	I am reading a book about animals.
Ich bin nicht traurig.	I do not feel sad.
Wem ähnelt das Baby?	Who does the baby take after?
Wir rufen dich.	We'll call you.
Man sagt, Liebe mache blind.	They say love is blind.
Ich klingelte an der Tür.	I rang the doorbell.
Er spricht fünf Sprachen.	He can speak five languages.
Ich will nicht schlafen.	I don't want to sleep.
Warum seht ihr mich so an?	Why are you looking at me like that?
Sie wird es nie schaffen.	She will never make it.
Er gab mir eine vage Antwort.	He gave me a vague answer.
Er spricht zehn Sprachen.	He is able to speak ten languages.
Trinken Sie Tee oder Kaffee?	Do you drink tea or coffee?
Jemand steht vor dem Tor.	Someone's standing in front of the gate.
Eine Flasche Wasser bitte.	A bottle of water, please.
Willst du mit mir tanzen?	Do you want to dance with me?
Sie gab ihm seine Jacke.	She handed him his jacket.
Wie geht's allen heute?	How's everyone doing today?
Wir müssen ihr helfen.	We must help her.
Ich bin kein Student.	I'm not a student.
Wo haben Sie das her?	Where did you get this?
Nimm das Geld mit!	Take the money with you.
Der Bus war voll.	The bus was full.
Was macht denn John gerade?	What's John doing right now?
Sie schuldet ihm viel Geld.	She owes him a lot of money.
Du bist ein bisschen dick.	You are a bit fat.
Ich habe ihn nie lügen hören.	I have never heard him lie.
Ich fragte nach dem Grund.	I asked why.
Schaffen Sie sie aus dem Weg!	Get them out of the way.
Es war einmal ein Stück Holz.	Once upon a time there was a piece of wood.
Ich hasse es zu tanzen.	I hate dancing.
Ich lebe in Japan.	I live in Japan.
Das gefiel ihm.	He liked that.
Warum sagt ihr denn nichts?	Why aren't you saying anything?
Wie lange bleibst du hier?	How long will you stay here?
Wie willst du deine Eier?	How would you like your eggs?
Wo hast du das her?	Where did you get this?
Niemand vertraut ihm mehr.	No one trusts him any more.
Wissen Sie etwas darüber?	Do you know something about this?
Was kostet diese Kamera?	How much is this camera?
Hören wir auf damit!	Let's get it over with.
Niemand glaubt, was ich sage.	Nobody believes what I say.
Sie kann nicht Ski fahren.	She can't ski.
Sie machen es jede Woche.	They do it each week.
Es war dunkel.	It was dark.
Gott, höre meine Bitte.	God, hear my plea.
Sie näherte sich ihm.	She moved closer to him.
Ich will zu meiner Mama!	I want my mommy.
Er antwortete seinen Eltern.	He answered his parents.
Noch ein kleines bisschen.	Just a little more.
Ich will nicht ewig leben.	I don't want to live forever.
Sagt mir die Wahrheit.	Tell me the truth.
Wir gaben es dem Mann.	We gave it to the man.
Wir leben zusammen.	We live together.
Sie ging nach oben.	She went upstairs.
Das klingt leicht.	It sounds easy.
Wo arbeitest du?	Where do you work?
Ich irre mich oft.	I often err.
Sie sang mit schöner Stimme.	She sang with a beautiful voice.
Wir sollten lernen.	We should study.
Magst du Englisch?	Do you like English?
Hast du einen Bleistift?	Do you have a pencil?
Ich schwimme sehr gern.	I love to swim.
Er nahm keine Notiz von mir.	He took no notice of me.
Ich möchte schwimmen gehen.	I should like to go for a swim.
Ich spreche kein Japanisch.	I don't speak Japanese.
Ich warte auf niemanden.	I'm not waiting for anyone.
Ich mag Sprachen!	I like languages!
Sie sind kalt.	They're cold.
Sie kam blind zur Welt.	She was born blind.
Du willst mir helfen.	You want to help me.
Willst du mir helfen?	Do you want to help me?
Wollt ihr das wagen?	Do you want to risk that?
Das Auto fuhr durch ein Tor.	The car passed through a gate.
Ich zeige Euch mein Zimmer.	I'll show you my room.
Hört man diesen Namen oft?	Is that a common name?
Was weißt du über Tatoeba?	What do you know about Tatoeba?
Sie kann sehr gut singen.	She can sing very well.
Halte es einfach!	Keep it simple.
Er und ich blieben im Hotel.	He and I stayed at the hotel.
Öffnet das Fenster nicht.	Don't open the window.
Sie haben absolut recht.	You are absolutely correct.
Ich erklärte es ihm.	I explained it to him.
Ich bin achtzehn Jahre alt.	I am eighteen years old.
Ich habe heute einen Kater.	I have a hangover today.
Man kümmert sich um mich.	I'm being looked after.
Ich habe ihr alles gesagt.	I told her everything.
Er arbeitet ziemlich hart.	He works very hard.
Er besuchte einen Freund.	He visited a friend.
Sie öffnet das Fenster.	She opens the window.
Ich bin gut im Singen.	I'm good at singing.
Du bist schuld.	You are to blame.
Was denken Sie darüber?	What do you think about it?
Sie öffnete den Mund.	She opened her mouth.
Im Haus spukt es.	The house is haunted.
Könntest du bitte ruhig sein?	Could you please be quiet?
Ich muss dir nein sagen.	I must say no to you.
Liebst du den Mann dort?	Do you love that man there?
Ich will fahren.	I want to drive.
Ich liebe Eis.	I love ice cream.
Ich folgte dem Bus.	I followed the bus.
Ich bin sehr dick.	I'm very fat.
Er fing das Huhn.	He caught the chicken.
Warum passiert mir das nie?	How come this never happens to me?
Ich studiere gern Englisch.	I like studying English.
Kann sie Fahrrad fahren?	Can she ride a bicycle?
Es geschieht noch immer.	It's still happening.
Du kannst Englisch reden.	You can speak English.
Ich bin auch nervös.	I'm nervous, too.
Die Nacht war lang.	The night was long.
Ich spare Geld für ein Auto.	I'm saving money for a car.
Du tust mir wirklich leid.	I really feel for you.
Gibt es in deinem Haus Strom?	Is there electricity in your house?
Ich muss Maria helfen.	I have to help Mary.
Er kam pünktlich an.	He arrived in time.
Er nahm meinen Vorschlag an.	He accepted my idea.
Er klingelte an der Tür.	He rang the doorbell.
Jemand wartet unten auf dich.	Someone is waiting for you downstairs.
Ich war gestern beschäftigt.	I was busy yesterday.
Sie kamen Hand in Hand.	They went hand in hand.
Was macht dir Sorgen?	What's worrying you?
Wie war euer Sommer?	How was your summer?
Er kann kaum laufen.	He can hardly walk.
Das erklärt alles!	This explains everything!
Bei mir spukt es.	My house is haunted.
Du hast das Richtige getan.	You did the right thing.
Sie sehen überrascht aus.	You look surprised.
Hörst du ihm zu?	Are you listening to him?
Ich fühle mich nicht danach.	I don't feel like it.
Sein Kind benimmt sich gut.	His child behaves well.
Er schreibt Bücher.	He writes books.
Wir haben keine Beweise.	We don't have any proof.
Alles hat seinen Grund.	Everything happens for a reason.
Ich wollte nur helfen.	I only wanted to be helpful.
Er hat das Richtige getan.	He did the right thing.
Wie? Was hast du gesagt?	What? What did you say?
Ich habe ihm nichts gesagt.	I haven't told him anything.
Hat sie noch Temperatur?	Does she still have a temperature?
Was tut dir leid?	What are you sorry about?
Ich beneide sie.	I envy her.
Stehen Sie auf!	Get out of bed!
Ich weiß, wie Menschen sind.	I know people.
Der Hund liegt im Sterben.	The dog is dying.
Hast du mir alles gesagt?	Have you told me everything?
Mein Onkel kann Deutsch.	My uncle can speak German.
Er weinte und weinte.	He cried and cried.
Wir helfen euch aus.	We'll help you out.
Sie sind der Chef.	You're the boss.
Er kann nicht gut singen.	He can't sing well.
Stimmt diese Antwort?	Is that answer right?
Ich lerne von acht bis elf.	I study from eight to eleven.
Sag dieses Wort nie wieder!	Don't say that word ever again.
Wann lernt ihr?	When do you study?
Ich höre dich laut und klar.	I hear you loud and clear.
Meine Haare sind zu lang.	My hair is too long.
Er besitzt viele Bücher.	He has a large number of books.
Besitzt er viele Bücher?	Does he have many books?
Von was redest du?	What are you talking about?
Wir hatten kein Benzin mehr.	We ran out of petrol.
Sie bekam Mitleid mit ihm.	She took pity on him.
Er wird es nie schaffen.	He will never make it.
Was möchtest du trinken?	What would you like to drink?
Ich bin nicht sicher.	I'm not sure.
Wir waren wie Brüder.	We were like brothers.
Ich schaffe das nicht allein.	I can't do this alone.
Was interessiert er dich so?	Why are you so interested in him?
Schau dir das Haus dort an!	Look at that house.
Alle zusammen sind wir elf.	We are eleven in all.
Ihre Hände sind nie still.	Her hands are never still.
Ich werde ein Bad nehmen.	I'm going to take a bath.
Sie wies mir den Weg.	She showed me the way.
Ich esse Brot.	I'm eating bread.
Mir war kalt.	I felt cold.
Ich schaffe es nicht allein.	I can't make it alone.
Er fiel durch die Prüfung.	He failed to take the exam.
Nur die Wahrheit tut weh.	Only the truth hurts.
Man muss sein Bestes geben.	One must do one's best.
Ich dachte, er sei krank.	I thought he was sick.
Ich lerne langsam.	I'm a slow learner.
Ich spreche gut Japanisch.	I speak good Japanese.
Ich mache selten Fehler.	I don't make mistakes very often.
Ich kann nicht bleiben.	I can't stay.
Er war echt freundlich.	He was kindness itself.
Hör mal kurz zu!	Listen a minute.
Sie war nirgends zu sehen.	She was nowhere to be seen.
Ich kenne deinen Namen.	I know your name.
Was tun sie da oben?	What are they doing up there?
Kann ich hier schlafen?	Can I sleep here?
Sie hat große Lippen.	She has big lips.
Das sagst du zum ersten Mal.	You didn't say that before.
Ken fragte nach seinem Vater.	Ken inquired about his father.
Du verstehst nicht.	You don't understand.
Ruf mich morgen an.	Call me tomorrow.
Sind Sie aus Kyoto?	Are you from Kyoto?
Deine Haare sind zu lang.	Your hair is too long.
Ich habe Angst zu fallen.	I'm afraid to fall.
Es war nirgends zu sehen.	It was nowhere to be seen.
Wir sind alle einer Meinung.	We are all in agreement.
Sie gestand, ihn zu lieben.	She confessed that she loved him.
Du hast ihm nichts gesagt?	You didn't tell him anything?
Ich mag Pizza sehr.	I like pizza very much.
Niemand half mir.	No one helped me.
Verstehst du sie?	Do you understand her?
Ich bin so dick.	I'm so fat.
Warum bist du sauer auf mich?	Why are you angry with me?
Wer hat was zu wem gesagt?	Who said what to whom?
Sein Sohn schreit ihn an.	His son is yelling at him.
Kann das Baby laufen?	Is the baby able to walk?
Das Baby kann laufen.	The baby is able to walk.
Soll ich dir helfen?	Shall I help you?
Ich zeige Ihnen mein Zimmer.	I'll show you my room.
Ich zähle auf deine Hilfe.	I'm counting on your help.
Ich verlasse mich auf Ken.	I rely on Ken.
Das wäre falsch.	This would be a mistake.
Ich singe gern.	I like to sing.
Er war schuld.	It was his fault.
Ihr macht euch Sorgen.	You're worried.
Das habe ich nicht erwartet.	I wasn't expecting that.
Ich konnte alles hören.	I could hear everything.
Meine Augen tun weh.	I have an eyesore.
Ich träume gerade.	I am just dreaming.
Geh doch zum Arzt!	Go to the doctor at once!
Sie reist gerade.	She is traveling now.
Es wird dunkel.	It's getting dark.
Sie bot mir ein Bier an.	She offered me a beer.
Wisst ihr, wo wir sind?	Do you know where we are?
Ich wies ihr den Weg.	I showed her the way.
Ich musste Englisch lernen.	I had to study English.
Ich wollte euch helfen.	I wanted to help you.
Er spielt gerne Karten.	He likes to play cards.
Warum haben Sie Angst?	Why are you afraid?
Der Morgen war klar.	The morning was clear.
Zeigt mir das Geld.	Show me the money.
Ich ziehe meine Hose an.	I put on my trousers.
Sprich nicht so mit mir!	Don't speak to me like that!
Was gefällt dir daran?	What do you like about it?
Ich gebe mein Bestes.	I am trying my level best.
Nimm, was du willst!	Take anything you like.
Kommst du hier jeden Tag her?	Do you come here every day?
Darf ich nun mit dir reden?	May I talk to you now?
Ich denke, das weiß jeder.	I think that everybody knows.
Ich will nicht braun werden.	I don't want to get a suntan.
Das soll unter uns bleiben!	That should be kept between us.
Er gestand, sie zu lieben.	He confessed that he loved her.
Wollen Sie mir helfen?	Do you want to help me?
Sag es auf Englisch.	Say it in English.
Ich bin mir sicher.	I'm certain.
Ich trank Milch.	I drank milk.
Die Polizei beobachtet ihn.	The cops are keeping tabs on him.
Wir schaffen das auch nicht.	I can't do this either.
Er blieb ein armer Mann.	He remained a poor man.
Ich will kein Mitleid.	I don't want sympathy.
Warum hast du Angst?	Why are you afraid?
Bist du der Chef?	Are you the boss?
Was sagen Sie?	What're you saying?
Sie irrt sich.	She is wrong.
Was habe ich gerade gesagt?	What was I saying?
Kannst du Französisch lesen?	Can you read French?
Du siehst überrascht aus.	You look surprised.
Denken Sie auf Deutsch?	Do you think in German?
Wir sehen uns täglich.	We see each other every day.
Lag ich damit falsch?	Was I wrong?
Wie wollen Sie Ihre Eier?	How would you like your eggs?
Jedem das Seine.	To each his own.
Folgt mir nach.	Follow behind me.
Seid ihr gerade beschäftigt?	Are you busy now?
Ich träume auf Französisch.	I dream in French.
Ich muss vorsichtiger sein.	I need to be more careful.
Er irrt sich vollkommen.	He is entirely in the wrong.
Tanzt du mit mir?	Would you like to dance with me?
Er spielt sehr gut Geige.	He plays the violin very well.
Er spielt oft Gitarre.	He often plays the guitar.
Haben Sie Äpfel?	Do you have any apples?
Es wird kalt.	It's getting cold.
Das Dorf braucht Ihre Hilfe.	The village needs your help.
Verstehst du, was ich sage?	Do you understand what I'm saying?
Er kann kein Dichter sein.	He cannot be a poet.
Ich kenne Ihren Namen.	I know your name.
Wir rufen besser die Polizei.	We had better call the police.
Es war dunkel im Wald.	The forest was dark.
Er sucht Arbeit.	He's looking for a job.
Haben Sie einen Wunsch?	Do you want something?
Wir können dir helfen.	We can help you.
Können wir dir helfen?	Can we help you?
Das betrifft ihn auch.	That applies to him too.
Er scheint zu lügen.	It seems that he is telling a lie.
Was für ein schlechter Film!	What a bad movie!
Sie werden es nie schaffen.	They'll never make it.
Ich will den Käse essen.	I want to eat the cheese.
Plötzlich ging das Licht an.	The light came on suddenly.
Das Licht ging plötzlich an.	The light came on suddenly.
Bitte stelle mich ihr vor!	Please introduce me to her.
Bitte stelle mich ihr vor.	I would like you to introduce me to her.
Mein Vater raucht selten.	My father seldom smokes.
Ruf sofort den Arzt an.	Call the doctor right away.
Niemand glaubt ihm.	No one believes him.
Hör auf damit!	Come off it!
Hör auf damit.	Stop that.
Warte hier.	Wait here.
Ich habe ihm alles gesagt.	I told him everything.
Sie waren völlig überrascht.	They were completely surprised.
Kennt ihr beiden euch?	Do you two know each other?
Wir müssen ihm helfen.	We must help him.
Sie waren echt kalt.	They were really cold.
Wo sind all die anderen?	Where are all the others?
Ihre Haare sind zu lang.	Your hair is too long.
Ich trinke Kaffee.	I drink coffee.
Sagen Sie nichts!	Don't say anything.
Wir sind Männer.	We are men.
Ich fand das Zimmer leer vor.	I found the room empty.
Ich fand sie freundlich.	I found her kind.
Hier kann man kochen.	You can cook here.
Er hob seinen Arm.	He raised his arm.
Er hat keine Kraft mehr.	He has no more strength.
Er lehnte den Plan ab.	He opposed the plan.
Ich habe keinen Bleistift.	I don't have a pencil.
Sie hat ihn singen gehört.	She heard him sing.
Trinkst du einen Kaffee?	Do you drink coffee?
Bleiben Sie nicht hier!	Don't stay around here.
Das Wetter war heiß.	The weather had been hot.
Mein Freund weinte.	My boyfriend was crying.
Sie geht zu Bob.	She is going to Bob's.
Wir haben es endlich getan.	We finally did it.
Sie warten auf eure Hilfe.	They are looking to you for help.
Bob nahm sie zur Frau.	Bob made her his wife.
Wir nehmen eine Zeitung.	We take a newspaper.
Wie nennen Sie Ihre Freunde?	What do your friends call you?
Was machst du in London?	What do you do in London?
Hast du Äpfel?	Do you have any apples?
Er hat eine neue Freundin.	He has a new girlfriend.
Wir werden beschäftigt sein.	We'll be busy.
Ich spiele gerne Gitarre.	I am fond of playing the guitar.
Fällt dir was dazu ein?	Do you have any ideas about it?
Vertraue mir, sagte er.	Trust me, he said.
Wir helfen Ihnen aus.	We'll help you out.
Er wies mir den Weg.	He showed me the way.
Verstehst du mich?	Do you understand me?
Du verstehst mich.	You understand me.
Ich bade gerade.	I'm taking a bath.
Mein Onkel handelt mit Fisch.	My uncle deals in fish.
Der Alte sieht traurig aus.	The old man looks sad.
Was machen Sie am Freitag?	What're you going to do on Friday?
Mach deinen Mund weit auf.	Open your mouth wide.
Du musst dich irren.	You must be mistaken.
Er liegt mit Grippe im Bett.	He's in bed with the flu.
Ich kann gut Ski fahren.	I'm good at skiing.
Ich spreche Deutsch.	I speak German.
Wo liegt Boston?	Where is Boston?
Sie lehrt uns Französisch.	She teaches us French.
Ich habe schlechte Augen.	I have bad eyesight.
Wir amüsierten uns mit ihnen.	We had fun with them.
Man sollte sein Bestes tun.	One should do one's best.
Er wies ihr den Weg.	He showed her the way.
Selbst Kinder wissen das.	Even children know that.
Sie kämpft um ihr Leben.	She's fighting for her life.
Ich traue meinen Augen nicht.	I can't believe my eyes.
Ich muss zur Schule laufen.	I have to walk to school.
Er bot mir ein Bier an.	He offered me a beer.
Zum Glück war gutes Wetter.	Fortunately, the weather was good.
Sie wollte ihnen helfen.	She wanted to help them.
Sie machen sich Sorgen.	You're worried.
Möchtest du noch mehr Kekse?	Would you like some more cookies?
Warum sagst du das nie?	Why don't you ever say it?
Es hat kaum Folgen für mich.	It is of little consequence to me.
Kinder müssen spielen.	Children need to play.
Es gibt keine Beweise.	There's no evidence.
Laufen Sie jeden Tag?	Do you run every day?
Wirst du dort lange bleiben?	Are you going to stay there for long?
Er weiß, wie man angelt.	He knows how to fish with a fishing rod.
Sie haben zwölf Kinder.	They have twelve children.
Sie müssen sich irren.	You must be mistaken.
Du lügst mich an.	You are lying to me.
Lügst du mich an?	Are you lying to me?
Ich sehe mir gern Filme an.	I like watching movies.
Sie hat niemanden zum Reden.	She has no one to speak to.
Maria hat sehr langes Haar.	Mary has very long hair.
Ich beneide ihn.	I envy him.
Beide sind tot.	They're both dead.
Ich mag Äpfel.	I like apples.
Sie wird immer hübscher.	She is getting prettier and prettier.
Was sollen wir spielen?	What shall we play?
Der Soldat gab mir Wasser.	The soldier gave water to me.
Warum seid ihr so böse?	Why are you guys so angry?
Ich suche meine Kamera.	I'm looking for my camera.
Sprichst du Englisch?	Do you speak English?
Sie bauen ein Haus.	They are building a house.
Er gibt es John.	He gives it to John.
Meine Mutter hat vier Brüder.	My mother has four brothers.
Niemand nimmt uns für voll.	No one takes us seriously.
Kannst du schnell rennen?	Can you run fast?
Was schreibst du gerade?	What are you writing?
Kommen Sie zur Sache!	Get to the point.
Geh in die Schule.	Go to school.
Ihr Hut sah sehr komisch aus.	Her hat looked very funny.
Schließen Sie die Tür auf.	Unlock the door.
Sie trägt ihr Haar offen.	She wears her hair loose.
Immer mit der Ruhe!	Take it easy!
Immer mit der Ruhe.	Take it easy.
Etwas musste getan werden.	Something had to be done.
Wem gehören diese Bücher?	Whose books are these?
Komm doch zu der Party!	Do come to the party.
Haben Sie noch Fragen?	Have you any further questions?
Es wurde dunkel.	It was getting dark.
Ich kaufe es.	I'll buy it.
Meine Mutter liebt Musik.	My mother loves music.
Wartest du auf etwas?	Are you waiting for something?
Bist du dir sicher?	Are you sure?
Komm dem Licht nicht zu nahe!	Don't come near the light!
Ich spiele jeden Tag Tennis.	I play tennis every day.
Sie brach in Lachen aus.	She burst out laughing.
Lernen wir Englisch!	Let's study English.
Das war nur ein Jahr her.	That was only a year ago.
Wo rennt er jetzt?	Where is he running now?
Sie gab mir ein Geschenk.	She gave me a present.
Das Auto fährt mit Strom.	The automobile runs on electricity.
Außer Obst gibt es auch Eis.	Besides fruit, we're going to have ice cream.
Warten wir bis sechs Uhr.	Let's wait until six o'clock.
Ich wollte Ihnen helfen.	I wanted to help you.
Er lebt alleine im Wald.	He lives by himself in the woods.
Wir helfen Ihnen gerne.	We are glad to help you.
Was tun sie dort oben?	What are they doing up there?
Komm mit mir!	Come with me.
Gute Arbeit!	Good work!
Ich werde vorsichtiger sein.	I will be more careful.
Versucht es doch einfach!	Just try it.
Ich habe Wichtigeres zu tun.	I have something more important to do.
Wisst ihr, wer sie sind?	Do you know who they are?
Kennst du den Wert der Angst?	Do you know the value of fear?
