active	aktiv<br>aktiver<br>am aktivsten 
to sleep, <br>go to sleep 	schlafen <br>einschlafen Sie ist eingeschlafen. 
to smell	riechen 
to solve, loosen	lösen 
to speak, talk	sprechen, reden 
to spring, jump	springen 
to stand	stehen 
to stay, remain	bleiben 
to stipulate, determine	festlegen<br>stipulieren 
to submit, deliver	abgeben <br>einreichen 
to subscribe	abonnieren 
to suggest	vorschlagen <br>suggerieren 
to support	stützen<br>unterstützen 
to swim	schwimmen 
to take	nehmen 
to take over	übernehmen 
to testify, declare	aussagen 
to think	denken 
to threaten	drohen <br>androhen 
to change	ändern, verändern (sich)<br />wechseln <br />wandeln 
to contact	kontaktieren 
to cook	kochen 
to drink	trinken 
to end, finish	enden, beenden 
to function	funktionieren 
the suitcase	der Koffer -- 
to hope	hoffen 
to know	wissen, kennen 
to live	leben, wohnen 
to love	lieben 
to name	nennen 
to open	öffnen, eröffnen 
to order [buy, purchase] to cancel order	bestellen abbestellen 
to own	besitzen 
to plan	planen 
to present, depict 	darstellen, präsentieren 
to register, enrol, sign on	anmelden <br>registrieren Ich werde mich anmelden = I will sign on 
to report 	berichten, melden 
to ask, request [for s.t.]	bitten Ich werde dich nicht darum bitten . 
to run	laufen, rennen 
to search	suchen, durchsuchen 
to send	schicken, senden 
to show	zeigen Sie zeigt ihm die Schuhe 
ph: You are different. 	Du bist anders. 
to test	prüfen, testen 
to use	nutzen<br>benützen<br>verwenden 
to visit	besuchen 
to voice, say <br>vote 	stimmen 
to will, was, would	werden/wurden/würden Ich werde = I will/am going to <br>Ich wurde = I was <br>Ich würde = I would 
to wish	wünschen Ich wünsche dir etwas.. 
to work	arbeiten 
to trek, hike 	wandern 
to trust, have confidence	vertrauen Ich vertraue dir. 
to try, <br>attempt	versuchen <br>probieren 
to understand, comprehend	verstehen, kapieren 
to update	aktualisieren 
to view, consider	betrachten 
to wait 	warten <br>abwarten Würden Sie bitte auf mich warten? 
to wake	wecken, aufwecken 
to wash	waschen 
to wave, beckon	winken 
to will, want	wollen 
to win	gewinnen 
to work on, process	bearbeiten 
to work, appear	wirken 
to would	würden<br>möchten Ich würde das nicht machen = I would not do that<br>Ich möchte gern = I would like... 
to write	schreiben 
to be absent, missing, lacking	fehlen Du fehlst mir 
to advise	raten, beraten Ich rate dir....<br>Ich werde dich beraten 
to agree, concur	zustimmen<br>einverstanden <br>abmachen <br>vereinbaren Ich stimme zu. <br>Ich stimme ihm zu. <br>Ich bin einverstanden 
to answer <br>reply to	beantworten Ich beantworte deine Frage. (Akk)<br>Ich antworte dir. (Dat) 
to believe, <br>think 	glauben Ich glaube dir 
to belong to	gehören Es gehört mir 
to damage	schaden <br>beschädigen Das schadet mir.<br>Bei dem Zusammenstoß wurde sein Auto schwer beschädigt. 
to fit, suit, match	passen Das passt mir nicht 
to follow, obey	folgen Ich werde deinem Rat folgen.<br>Würden Sie mir bitte folgen? 
to have a thought, idea	einfallen Sein Name fällt mir gerade nicht ein = His name escapes me. <br>Mir fiel nichts ein = I couldn't think of anything to say. <br>Was fällt dir ein = How dare you. 
to hurt, injure	verletzen <br>weh tun Das tut mir weh = That does me harm = That hurts 
to listen	zuhören <br>anhören Ich höre dir genau zu<br>Ich habe mir die Musik angehört<br><br>Hör zu! = Listen up [sing. imperative]<br>Hört zu! = Listen up [plur. imperative] <br><br>Nur wenige Menschen können wirklich zuhören. 
to order, command	befehlen Ich habe dir befohlen, etwas zu tun 
to pardon, forgive	vergeben<br>verzeihen Das werde ich dir nie verzeihen 
ph: To put it crudely...	Um es salopp zu sagen...<br>Salopp gesagt... 
to please, <br>like	gefallen Wie gefällt es dir ? 
to serve	dienen <br>bedienen Womit kann ich Ihnen dienen ?<br>Werden Sie schon bedient? 
to apologize <br>be sorry	entschuldigen, leid tun Entschuldigung !<br>Es tut mir leid 
to succeed	gelingen <br>Erfolg haben Es gelang mir, die Schwierigkeiten zu überwinden. 
to taste	schmecken <br>kosten Lass es dir schmecken = Enjoy the food <br>Guten Appetit ! 
to thank	danken Ich danke dir 
to answer	antworten Ich frage dich , und antworte dir 
to help	helfen Ich hilfe dir 
the hard disk	die Festplatte -n 
the actor, actress	der Schauspieler "<br>die Schauspielerin -nin 
the administration	die Verwaltung -en 
the democracy	die Demokratie -n 
the empire, kingdom, realm	das Reich -e 
the king	der König -e 
the right [by law]	das Recht -e 
the adverb	das Umstandswort -wörter<br>das Adverb -ien<br> 
the chair	der Stuhl -Stühle Dat.Pl: Stühlen 
the city	die Stadt -ädte<br> die City -s 
the courtyard, <br>farm 	der Hof Höfe <br>der Bauenhof -höfe 
the ladder	die Leiter " (klettern) 
the lock, castle	das Schloss Schlösser 
the chapter	das Kapitel " [innerhalb eines Buches] 
the colleague	der Kollege -n<br>die Kollegin -nen der Kollege is Weak noun...<br />Singular = den/dem/des Kollegen 
the formula [maths]	die Formel -n 
the preparatory school for university	das Gymnasium -sien 
the alternative	die Alternative -n 
the damage	der Schaden -äden 
the entry [into place, building] <br>access	der Zugang -änge 
the medium <br>[ plural = media, as in "news media" ]	das Medium Medien Die Medien berichtet... 
the near [noun]<br>nearby	die Nähe -- ...in der Nähe = nearby 
the opportunity, occasion	die Gelegenheit -en 
the original	das Original -e 
the part, <br>portion, share	das / der Teil -e Artikel: das = ein bestimmter Gegenstand. <br> z.B. das Bauteil -e <br>das Einzelteil -e <br>das Teil des Motors<br>Jedes Teil kostet nur noch 5 Euro.<br><br>der Körperteil -e <br>der Stadtteil -e <br>der Bruchteil -e <br>der Vorteil -e <br>Ich habe mir meinen Teil dabei gedacht.<br><br>der Anteil -e = portion <br>die Portion -en 
the round <br>lap 	die Runde -n 
the account statement [bank]	der Kontoauszug -züge 
the credit card	die Kreditkarte -n 
the dollar	der Dollar " 
the euro	der Euro " 
the chicken	das Hähnchen " 
the environment	die Umwelt -en 
the plant [growing in the garden]	die Pflanze -n 
the ball	der Ball Bälle 
the order [instruction]	der Befehl -e 
the property, characteristic	die Eigenschaft -en <br>das Eigentum -- <br>der Besitz -- 
the fly 	die Fliege -n 
the insect	das Insekt -en 
the tomorrow, <br>tomorrow morning	der Morgen " <br>Morgen früh. 
the quarter	das Viertel --<br>das Quartal -e 
the Rhine [river]	der Rhein -- 
the sleep	der Schlaf -- 
the stress, strain	der Stress -e <br>die Überanstrengung -en <br>die Strapaze -n 
funny	lustig, komisch, witzig 
seldom	selten 
rather	eher Ich bin eher in den Bergen als ans Meer [rather]<br>Er ist eher faul als dumm [more]<br>Je eher, desto besser [sooner]<br> 
the education	die Bildung -en<br>die Ausbildung -en 
the article, <br>item	das Geschlectswort -wörter<br>der Artikel " Nom Acc Dat Gen<br>M . der den dem des<br>F . die die der der<br>N . das das dem des<br>P . die die den der <br><br>also: ein-, kein-, dies-, jede- , manch-, solch-,<br> welch-, alle-, beide- <br>and Possessive Pronouns: mein-, dein-, sein-, <br>ihr-, sein-, unser-, euer-, ihr-, Ihr-. 
the number: singular / plural	die Zahl Einzahl / Mehrzahl 
the preposition	das Verhältniswort -wörter<br>die Präposition -en Akk: bis, durch, für, gegen, ohne, um.<br>Dat: ab, aus, außer, bei, gegenüber, mit, nach, seit, von, zu.<br>Akk or Dat: an, auf, hinter, in, neben, über, unter, vor, zwischen.<br>Gen: (an)statt, außerhalb, einschließlich, innerhalb, in der Nähe, trotz, während, wegen (s/t Dat.) 
the pronoun	das Fürwort -wörter<br>das Pronomen " Nom Acc Dat Gen<br>I ich mich mir mein-<br>you du dich dir dein-<br>he er ihn ihm sein-<br>she sie sie ihr ihr- <br>it es es ihm sein-<br>we wir uns uns unser-<br>you ihr euch euch euer-<br>they sie sie ihnen ihr-<br>You Sie Sie Ihnen Ihr- <br><br>Note: also pronouns...<br>derselbe- <br>dieselbe- <br>dasselbe- <br>z.B. Sie sind dieselben Leute. 
the noun	das Hauptwort -wörter<br>das Substantiv -e<br>das Nomen " 
the tense <br><br>...of verbs eg. future, present, past.	die Zeit -en , das Tempus Tempora Zeitform des Verbs...<br>die Zukunft = das Futur<br>die Gegenwart = das Präsens<br>die Vergangenheit = das Präteritum 
the verb	das Tätigkeitswort - wörter <br>das Verb -en 
the inflection, declension <br><br>Inflection of number, gender, and case of...<br>article, <br>noun, <br>pronoun, <br>adjective	die Beugung -en<br>die Deklination -en 
the grammar	die Grammatik -en Inflect an article, noun,<br>pronoun, or adjective.<br><br>Conjugate a verb. 
the colloquial language, <br>idiom, <br>common speech, <br>slang 	die Umgangssprache --<br>das Idiom -e<br>die Redewendung -en <br>der Slang -s 
the german language	das Deutsch -- Wie sagt man auf Deutsch.....? 
straight, <br>straight ahead	gerade, <br>gerade aus 
but	aber, doch 
as well as...	sowohl sowohl...als auch...<br /> 
rather, but	sondern Nicht für die Schule, sondern für das Leben lernen wir. 
small portion of... <br>a little...	bisschen Nur ein bisschen Wein/Fleisch...<br> 
ph: It is time.	Es ist soweit. 
the league	die Liga -gen die Bundesliga 
because	weil<br>wegen <br>da <br>dadurch <br>denn Alles wegen dir [Dativ] <br>Ich verzeihe ihm, denn er wusste nicht, was er tat. 
the column	die Kolonne -n = convoy<br>die Säule -n = pillar<br>die Rubrik -en = section, category 
the peace	der Friede -n Weak noun...<br>Singular = den/dem Frieden, des Friedens 
the will, testament 	der Wille -n <br>das Testament -e Weak noun...<br>Singular = den/dem Willen, des Willens 
the lion	der Löwe -n Weak noun...<br>Singular = den/dem/des Löwen 
the elephant	der Elefant -en Weak noun...<br>Singular = den/dem/des Elefanten 
the capital, [finance/asset, seat of governemt]<br>capitalist, <br>capital city	das Kapital -- [Finanz, Regierungssitz]<br>der Kapitalist -en <br>die Hauptstadt -städte Weak noun...<br>Singular = den/dem/des Kapitalisten <br>Note: das Kapitel = chapter 
the diplomat	der Diplomat -en Weak noun...<br>Singular = den/dem/des Diplomaten 
the candidate	der Kandidat -en Weak noun...<br>Singular = den/dem/des Kandidaten 
the astronaut	der Astronaut -en Weak noun...<br>Singular = den/dem/des Astronauten 
the emigrant	der Auswanderer "<br />der Emigrant -en der Emigrant is Weak noun...<br />Singular = den/dem/des Emigranten 
the immigrant	der Einwanderer -n<br>der Immigrant -en der Immigrant is Weak noun...<br>Singular = den/dem/des Immigranten 
the hero	der Held -en Weak noun...<br>Singular = den/dem/des Helden 
the neighbour	der Nachbar -n Weak noun...<br>Singular = den/dem/des Nachbarn 
the pilot	der Pilot -en Weak noun...<br>Singular = den/dem/des Piloten 
the idiot, scatterbrain, blunderer 	der Idiot -en <br>der Trottel "<br>der Dummkopf -köpfe <br>der Schussel -- der Idiot is weak noun...<br>Singular = den/dem/des Idioten 
the ape, monkey,<br>chimpanzee	der Affe -n<br>der Schimpanse -n Weak noun...<br>Singular = den/dem/des Schimpansen 
the civil servant, official	der Beamte -n<br>die Beamtin -nin der Beamte is Weak noun...<br>Singular = den/dem/des Beamten 
the german male	der Deutsche -n Weak noun...<br>Singular = den/dem/des Deutschen 
the stranger	der Fremde -n Weak noun...<br>Singular = den/dem/des Fremden 
the relative [family]	der Verwandte -n Weak noun...<br>Singular = den/dem/des Verwandten 
the planet	der Planet -en Weak noun...<br>Singular = den/dem/des Planeten<br><br>der Jupiter <br>der Mars <br>der Merkur <br>der Neptun<br>der Pluto <br>der Saturn <br>der Uranus <br>die Venus 
the investor	der Investor -en <br>der Anleger " 
the software	die Software -- 
Switzerland <br>Swiss [per]<br>Swiss [adj]	die Schweiz -- <br>der Schweizer, die Schweizerin, <br>schweizerisch [adj] Wir fahren in die Schweiz [Akk]<br>Wir machen Urlaub in der Schweiz [Dat]. 
Austria <br>Austrian [per]<br>Austrian [adj]	Österreich <br>der Österreicher, die Österreicherin<br>österreichisch [adj] 
Great Britain 	Großbritannien 
France <br>French [per]<br>French [adj]	Frankreich <br>der Franzosen , die Französin<br>französisch [adj] 
Italy <br>Italian [per] <br>Italian [adj] 	Italien <br>der Italiener, die Italienerin <br>italienisch [adj] 
Spain <br>Spaniard [per]<br>Spanish [adj]	Spanien <br>der Spanier, die Spanierin, <br>spanisch [adj] 
Sweden <br>Swede [per]<br>Swedish [adj]	Schweden <br />der Schwede, die Schwedin, <br />schwedisch [adj] der Schwede = Weak noun...<br />Singular = den/dem/des Schweden 
Denmark <br>Dane [per]<br>Danisch [adj]	Dänemark <br>der Däne , die Dänin<br>dänisch [adj] 
Norway <br>Norwegian [per] <br>Norwegian [adj] 	Norwegen <br>der Norweger, die Norwegerin, <br>norwegerisch [adj] 
United States (of America) <br>American [per]<br>American [adj] 	die Vereinigten Staaten <br>der Amerikaner, die Amerikanerin, <br>amerikanisch [adj] 
Australia <br>Australian [per]<br>Australian [adj]	Australien <br>der Australier, die Australierin <br>australische [adj] 
New Zealand <br>New Zealander [per] <br>New Zealand [adj] 	Neuseeland <br>der Neuseeländer, die Neuseeländerin, <br>neuseeländisch [adj] 
Holland, The Netherlands <br>Dutch [per]<br>Dutch [adj] 	Holland, die Niederlande <br>der Holländer, die Holländerin <br>holländisch [adj] 
Philippines <br>Filipino [per] <br>Philippine [adj] 	die Philippinen [Pl] <br>der Philippiner, die Philippinerin, <br>Philippinisch [adj] 
USA	die USA 
Iraq <br>Iraqi [per]<br>Iraqi [adj] 	der Irak <br>der Iraker, die Irakerin <br>irakisch [adj] 
Iran <br>Iranian [per]<br>Iranian [adj] 	der Iran <br>der Iraner, die Iranerin <br>iranisch [adj] 
Turkey <br>Turk [per]<br>Turkish [adj] 	die Türkei <br>der Türke, die Türkin, <br>türkisch [adj] 
the foundation <br>[financial tax free org for social purpose]	die Stiftung -en 
on	auf Exception : a "two way" preposition that irregularly (i.e. without "movement") takes Akk. in many idioms... <br><br>Akkusativ<br>Er trifft den Nagel auf den Kopf. <br>Wir hoffen auf besseres Wetter.<br>Sie ist böse auf dich.<br>Er hat nicht auf meinen Vorschlag reagiert.<br>Du kannst auf dich stolz sein.<br>Ich freue mich auf deinen Besuch.<br>Ich werde auf dich warten.<br>Ich höre auf deinen Rat.<br><br>Dativ<br>Ich laufe auf der Straße.<br>Dein Geld liegt auf der Bank.<br>Sie lag auf dem Balkon. 
over	über Exception : a "two way" preposition that takes Akk. in many idioms... <br><br>Das Buch über die Elemente. <br>Wir sind glücklich über das neue Haus.<br>Wir sprechen über die politische Situation.<br>...über jemanden/etwas sprechen/schreiben/ diskutieren/reden/ärgern. <br><br><br><br> 
the forehead	die Stirn -en 
the tongue	die Zunge -n 
the shoulder	die Schulter -n 
the chest	die Brust Brüste 
the bone	der Knochen " 
the elbow	der Ellbogen " 
the joint	das Gelenk -e 
the muscle	die Muskel -n 
the back	der Rücken " 
the buttocks, <br>backside 	das Gesäß -e<br>der Hintern "<br>der Po -s 
the thigh	der Oberschenkel " 
the knee	das Knie " 
the genitals	das Geschlechtsteil -e<br>die Genitalien [pl only] 
the nail [finger-/toe-nail]	der Nagel Nägel<br>der Fingernagel -nägel<br>der Fußnagel -nägel 
the eyebrow	die Augenbraue -n<br>[usually pl.] 
the heel	die Ferse -n <br>die Hacke -n [Nordd] <br>der Absatz -sätze = shoe heel<br> 
the sole [foot]	die Sohle -n 
the appendix [body]	der Blinddarm -därme 
the pain	der Schmerz -en 
the cold [illness]	die Erkältung -en<br>der Schnupfen " 
to cut <br>cut out <br>cut through	schneiden <br>ausscheiden <br>durchschneiden 
the cut [wound]	die Schnittwunde -n 
the infection	die Ansteckung -en<br>die Infizierung -en<br>die Infektion -en 
the bruise	die Beule -n<br>die Prellung -en<br>die Quetschung -en<br>der Bluterguss -güssen 
the swelling	die Schwellung -en 
the scratch [wound]	der Kratzer -n<br>die Kratzwunde -n 
the sprain	die Verstauchung -en 
the broken bone	der Knochenbruch -brüche 
the sinew	die Sehne -n 
the tissue [body]	das Gewebe " 
the liquid, fluid	die Flüssigkeit -en 
the plug [electrical]	der Stecker " 
brave, bold, courageous	mutig<br>mutiger<br>am mutigsten 
difficult	schwierig 
the north, the east, the south, the west	der Nord -- , der Norden -- , nördlich der Ost -- , der Osten -- , östlichder Süd -- , der Süden -- , südlich der West -- , der Westen -- , westlich Im Osten geht die Sonne auf, im Süden nimmt sie ihren Lauf, im Westen geht sie unter. 
nobody, no-one	keiner, niemand Keiner ist perfekt 
the way, manner, mode, <br>wise man	die Weise -n Auf diese Weise, habe ich.... 
the structure, rebuilding	der Aufbau -ten 
the balancing act, splits	der Spagat -e Ihm gelingt der Spagat zwischen Kreativität und eiserner Disziplin. 
to frighten, scare	angst machen<br>erschrecken <br>einjagen Das macht mir angst<br>Ich bin erschrocken 
the invention	die Erfindung -en 
sustainable	nachhaltig Eine nachhaltige Umwelt 
the cream [dairy]	die Sahne -- 
the downfall, demise, overthrow	der Umsturz -e 
to predict	prophezeien <br>vorhersagen <br>voraussagen <br>prognostizieren 
the trick, prank	der Trick -s<br>der Streich -e<br>der Kniff -e Das ist ein toller Trick 
despite 	trotz Trotz des Wetters... [Gen]<br>Trotz allem...[no noun = Dat] <br>Trotz aller Bemühungen [Dat] 
gradually, finally, at last	allmählich 
to look...what I have here	gucken Guck mal, was ich hier habe! 
the leniency, <br>mercy	die Nachsicht --<br>die Gnade -n 
the privilege	das Privileg -ien 
occassionally, <br>sometimes, <br>now and then	manchmal<br>gelegentlich<br>zuweilen, <br>ab und zu 
the string, cord	die Schnur -üre 
instead	stattdessen<br>anstatt 
the pole, bar, rod	die Stange -n 
the congestion, traffic jam	der Stau -s 
to disturb	stören 
the stop 	der Stopp -s 
to stutter	stottern 
to wear out	strapazieren<br>ablaufen 
the strike	der Streik -s 
to stretch	strecken <br>recken<br>dehnen 
to groan, moan	stöhnen Der Verletzte stöhnte vor Schmerz. 
the level, floor [of building]	der Stock Stöcke <br>das Stockwerk -e <br>das Geschoss -e Erste/zweite/dritte Stock, usw.<br><br>Erdgeschoss, Obergeschoss, Untergeschoss 
the stick, pole	der Stock Stöcke Nordik Lauf-Stöcke 
to climb	steigen<br>klettern 
the asterisk, little star	das Sternchen " 
the boot	der Stiefel " 
the jump, leap	der Sprung -ünge 
the stepfather/-mother, <br>the father/mother-in-law	der Stiefvater -väter<br>die Stiefmutter -müttern<br><br>der Schwiegervater -väter<br>die Schwiegermutter -müttern 
the sigh	der Seufzer " ...einen Seufzer tun / unterdrücken 
the New Year's Eve	der Silvester " 
the slave	der Sklave -n <br>die Sklavin -nen 
the skepticism	die Skepsis -- Ich bin sehr skeptisch [Adj] 
since	seit 
the sparkling wine, <br>champagne	der Sekt -e 
the longing, <br>yearning	die Sehnsucht -süchte 
to split	splittern 
the point, tip, peak	die Spitze -n <br>der Gipfel " 
departure time from... <br>arrival time at...	ab <br>an München ab 12.20 Uhr <br>an Berlin 15:10 Uhr 
to copy	kopieren <br>abbilden <br>angucken 
to brake, decelerate	bremsen 
to put, take off, discard	ablegen 
the spectacles, eye glasses	die Brille -n die Brille [sing] = pair of glasses 
the offside [sport]	das Abseits -- 
the ancestry, lineage, origin	die Abstammung -en 
to coordinate, vote on	abstimmen 
to resign, step down, <br>cede, hand over 	abtreten 
the diversity	die Vielfältigkeit -en<br>die Abwechslung -en 
the axle, axis	die Achse -n 
attentive	aufmerksam<br>achtsam 
the affair	die Affäre -n 
to operate, <br>act 	agieren Viele seiner Kollegen agierten hinter seinem Rücken gegen ihn. 
the ancestors, forbears	der/die Ahne [m/f] <br>die Ahnen [pl] 
to suspect	verdächtigen<br>vermuten<br>ahnen 
the maple tree	der Ahorn -e 
the cupboard, <br>wardrobe, <br>file cabinet	der Schrank -schränke <br>der Kleiderschrank -schränke<br>der Aktenschrank -schränke 
the ambiance	das Ambiente -- 
the seizure, fit, attack [sickness]	der Anfall -fälle 
to cheer on, encourage	anfeuern<br>ermuntern 
apparently, <br>supposedly	angeblich <br>vermutlich 
the fishing gear/tackle, hinge	der Angel -n 
the employee, <br>- salary/white collar employee<br>- wages/blue collar employee/worker	der Arbeitnehmer " Dat.pl: -n <br>der Mitarbeiter " Dat.pl: -n<br><br>der Angestellte <br>der Arbeiter " Dat.pl: -n 
to arrive	ankommen 
on the occassion of...	anlässlich 
to take on, accept	annehmen 
the motivation, <br>incentive	die Motivation -en <br>der Anreiz -e<br>der Ansporn -- 
to applaud clap	applaudieren <br>klatschen 
annoying	ärgerlich 
the sleeve	der Ärmel -- 
the aspect, <br>point of view, <br>perspective 	der Aspekt -e<br>der Gesichtspunkt -e<br>die Perspektive -n 
the breath	der Atem --<br>die Puste -- 
the heartbeat	der Herzschlag -schläge ...seine Herzschläge zählen. 
the blood pressure	der Blutdruck -- Sie leidet an hohem Blutdruck 
the stopover, stay	der Aufenthalt -e 
to challenge, summon 	herausforden<br>auffordern 
angry, upset, furious, <br>outraged	wütend, <br>böse, <br>verärgert, <br>zornig, <br>aufgebracht 
to cease, quit <br><br>e.g. stop smoking	aufhören ...mit dem Rauchen aufhören 
to startle, arouse	aufschrecken 
the climb, rise	der Aufstieg -e 
luxurious, <br>lavish 	luxuriös 
to irritate, confuse	irritieren, <br>konfus machen, <br>durcheinander bringen 
the expansion	die Ausbreitung -en<br>die Ausdehnung -en <br>die Erweiterung -en 
to fold out, swing out	ausklappen 
the foreigner	der Ausländer " die Ausländerin -nen 
to remark, <br>express	äußern <br>bemerken Möchten Sie noch einen Wunsch äußern? <br>Hat er sich zu den Vorwürfen geäußert? 
to pronounce	aussprechen Wie wird es ausgesprochen? 
to get off/out	aussteigen 
to exit/leave an organisation that one belonged to	austreten 
the axe	die Axt Äxte 
Europe	das Europa -- 
the banana	die Banane -n 
the compassion, sympathy, pity	das Mitgefühl --<br>das Mitleid --<br>die Barmherzigkeit -en 
to apply for	beantragen 
to regret, <br>to feel sorry for s.o.	bedauern <br>bereuen 
to be in favour of...	befürworten 
the enthusiasm	die Begeisterung -en <br>der Eifer -en -- 
ph: I am angry with him.	Ich bin sauer auf ihn. 
the companion, <br>comrade	der Begleiter "<br>der Kamerad -en<br>der Genosse -n 
comfortable	bequem<br>gemütlich<br>behaglich 
persistent	anhaltend<br>beharrlich <br>hartnäckig Es regnet anhaltend. <br>Beharrlich versuchte sie, das Problem zu lösen. <br>Er hat sich hartnäckig geweigert, etwas zu tun. 
continually, <br>constantly 	kontinuierlich<br>ständig <br>andauernd 
to be good at, know well <br>dominate, master, govern, rule	beherrschen 
the motor home, <br>mobile home, <br>campervan, <br>caravan 	das Wohnmobil -e <br>das Reisemobil -e <br>der Camper " <br>der Wohnwagen " 
to eavesdrop, overhear	belauschen 
to insult, offend	beleidigen 
to strive, <br>endeavour, <br>strain	bemühen <br>anstreben <br>anstrengen 
to behave	benehmen <br>verhalten 
predictable <br>caculable	berechenbar, <br>voraussagbar Ich habe das vorausgesagt! 
to emphasize <br>stress	betonen 
employed, <br />occupied, <br />busy,	beschäftigt 
the spring [season]	der Frühling -e 
the autumn	der Herbst -e 
to console	trösten Er tröstet sich mit einer neuen Freundin. 
the soldier	der Soldat -en <br>die Soldatin -nen der Soldat is Weak noun...<br>Singular: den/dem/des Soldaten 
the giving of Christmas presents [noun]	die Bescherung -en 
to defeat, conquer	besiegen<br>schlagen 
to bribe	bestechen 
to cheat, swindle, deceive, rip off	betrügen <br>mogeln <br>schummeln<br>täuschen <br>abzocken <br>schwindeln 
to prove	beweisen 
the consciousness	das Bewußtsein -- 
respectively, <br>or	beziehungsweise abgekürzt mit "bzw." &#8776; anders gesagt. <br>Ich habe vier Wochen bzw. 30 Tage Urlaub im Jahr. 
to bind, tie down, commit	binden 
the light bulb, <br>pear	die Birne -n 
the bladder, <br>blister, <br>bubble	die Blase -n 
the brake	die Bremse -n 
the bronze	die Bronze -n 
the fraction	der Bruchteil -e 
the middle-age fortress	die Burg -en die Burgen des Rheintals 
the sand	der Sand -- 
the lid, cover	der Deckel " 
to point to, <br>interpret, <br>indicate	deuten 
the density	die Dichte -n 
the thief, burglar, robber	der Dieb -e , die Diebin -nin <br>der Einbrecher " , die Einbrecherin -nen 
the operating instruction, <br>user manual	die Betriebsanweisung -en <br>die Gebrauchsanweisung -en 
to pressure, urge, rush, push	drängen<br>dringen 
the haze, mist	der Dunst Dünste 
the mess, confusion	das Durcheinander "<br>die Schweinerei -n 
to fail, fall through	durchfallen <br>scheitern <br>versagen Ich möchte nicht versagen. 
the drought	die Dürre -n 
the foliage, leaves	das Laub -- 
the ambition	der Ehrgeiz -- 
peculiar, strange	merkwürdig<br>eigenartig 
the empathy, <br>understanding	die Einfühlung -- <br>das Einfühlungsvermögen -- 
the concensus	der Konsensus " <br>die Einigkeit -- 
to memorise, remember	einprägen Ich habe mir das ins Gedächtnis einprägt. Ich habe mir das einprägt. <br>Ich werde mich daran erinnern. 
to get in/on	einsteigen 
to divide up, distribute	aufteilen [for other people]<br>einteilen [for self] 
contrary to	entgegen 
the exoneration, relief	die Entlastung -en 
to relax	entspannen 
the inheritance	das Erbe -- <br>die Erbschaft -en 
to complement, add	ergänzen 
to receive, maintain	erhalten 
the recovery	die Erholung -en 
the revenue, <br>proceeds, <br>income	der Erlös -e [companies]<br>die Einnahme -n [general orgs] <br>das Einkommen " [people, usually salary, wages] 
to harden	erstarren 
to catch someone doing something	ertappen<br>erwischen 
the stage, leg, phase	die Etappe -n 
eternal, <br>perpetual, <br>for ever 	ewig 
to explode	explodieren 
competent, capable	kompetent, fähig 
the fist	die Faust Fäuste 
the feather	die Feder -n 
to hold on 	festhalten 
the honeymoon	die Flitterwochen [Pl.only] 
the fleet	die Flotte -n 
the wing	der Flügel " 
the researcher	der Forscher " 
advanced	fortgeschritten 
the question mark	das Fragezeichen " 
to freeze <br>freeze to death 	frieren<br>erfrieren 
the frustration	der Frust --<br>die Frustration -en 
thoughtless	gedankenlos 
pleasing	gefällig ein gefälliges Äußeres = a pleasing appearance<br>Sonst noch etwas gefällig? [oft ironisch] 
the salary, <br>wage	das Gehalt Gehälter<br>der Lohn Löhne 
mean, nasty	gemein 
the general [military]	der General -e 
the genius	das Genie -s 
the satisfaction 	die Genugtuung -en <br>die Befriedigung -en<br>die Zufriedenheit -en 
to justify, vindicate	rechtfertigen Das ist gerechtfertigt !<br>Eine gute Rechtfertigung. 
slight, smallest, least	gering <br>geringste <br>am geringsten Das ist meine geringste Sorge 
the noisy crash/roar/rumbling	das Getöse -- 
to risk	riskieren<br>wagen Das hatte ich nicht riskiert/gewagt ! 
so to speak <br> as it were	sozusagen<br>gewissermaßen 
the habit	die Gewohnheit -en 
greedy	gierig 
the plaster [for broken arm]	der Gips -e 
the railway track, platform	das Gleis -e 
to glow, burn	glühen 
to google	googeln 
to dig, excavate	graben <br>buddeln 
the grip, grasp	der Griff -e 
to grin	grinsen 
generous	großzügig, <br>gütig 
valid	gültig 
the wrist	das Handgelenk -e 
the pile, heap, stack	der Haufen " <br>der Stapel " 
the sound, <br>noise [speech/pronunciation]	das Geräusch -e <br>der Laut -e Aus dem Keller hörte man verdächtige Geräusche. 
the vowel	Der Vokal -e Einfache Vokale: a e i o u<br>Umlaute: ä ö ü oder: ae, oe, ue<br>Diphthonge: au eu ei ai äu (Doppelvokal) 
the fitness	die Fitness -- 
the engineer	der Ingenieur -s 
the body, bodywork [of vehicle]	die Karosserie -n 
the rhythm	der Rhythmus -men 
the tolerance	die Toleranz -en 
undesirable, <br>frowned upon	verpönt 
siblings<br>brothers and sisters	die Geschwister [pl] 
the saint	der Heiliger -gen 
the hypocrite	der Heuchler " Dat.pl: -n 
the endurance 	die Ausdauer -- 
the horizon	der Horizont -e Dat.pl: -en 
the helicopter	der Hubschrauber " 
the comfortable, cozy atmosphere in a home, restaurant, hotel, etc.	die Gemütlichkeit -- 
the anniversary	der Jahrestag -e Dat.pl: -en 
the jet [aircraft]	der Jet -s 
the emperor	der Kaiser "<br>die Kaiserin -nen 
the canal, <br>channel 	der Kanal -äle Dat.pl: -älen 
the carnival	der Karneval -- 
the carton, <br>cardboard box	der Karton -s <br>der Pappkarton -s 
